Case,Year,FuelCategory,Generation_GWh,Unit
BAU_Extreme,2045,HYDRO,65878.452000000,GWh
BAU_Extreme,2045,PV,5252.450400000,GWh
BAU_Extreme,2045,WIND,6889.140000000,GWh
BAU_Extreme,2045,GEOTHERMAL,367.891200000,GWh
BAU_Extreme,2045,BIOENERGY,24.667200000,GWh
BAU_Extreme,2045,DIESEL,334.231200000,GWh
BAU_Extreme,2045,FUEL OIL,6228.223200000,GWh
BAU_Extreme,2045,GAS,2960.697600000,GWh
BAU_Extreme,2045,IMPORTS,1914.739200000,GWh
BAU_Extreme,2045,OTHER,0.000000000,GWh
BAU_Extreme,2046,HYDRO,68500.857600000,GWh
BAU_Extreme,2046,PV,5414.731200000,GWh
BAU_Extreme,2046,WIND,6829.077600000,GWh
BAU_Extreme,2046,GEOTHERMAL,363.967200000,GWh
BAU_Extreme,2046,BIOENERGY,24.775200000,GWh
BAU_Extreme,2046,DIESEL,303.314400000,GWh
BAU_Extreme,2046,FUEL OIL,6136.977600000,GWh
BAU_Extreme,2046,GAS,2794.500000000,GWh
BAU_Extreme,2046,IMPORTS,1881.388800000,GWh
BAU_Extreme,2046,OTHER,0.000000000,GWh
BAU_Extreme,2047,HYDRO,70671.124800000,GWh
BAU_Extreme,2047,PV,5382.280800000,GWh
BAU_Extreme,2047,WIND,6799.255200000,GWh
BAU_Extreme,2047,GEOTHERMAL,977.774400000,GWh
BAU_Extreme,2047,BIOENERGY,25.668000000,GWh
BAU_Extreme,2047,DIESEL,323.078400000,GWh
BAU_Extreme,2047,FUEL OIL,5893.221600000,GWh
BAU_Extreme,2047,GAS,2754.849600000,GWh
BAU_Extreme,2047,IMPORTS,1824.228000000,GWh
BAU_Extreme,2047,OTHER,0.000000000,GWh
BAU_Extreme,2048,HYDRO,68934.787200000,GWh
