Hydrology,Scenario,w,Year,Tech,Capacity_MW
Baseline,NZT,w22,2025,WIND,455
Baseline,NZT,w22,2026,BIOENERGY,150
Baseline,NZT,w22,2026,DIESEL,850
Baseline,NZT,w22,2026,FUEL OIL,1420
Baseline,NZT,w22,2026,GAS,475.36
Baseline,NZT,w22,2026,GEOTHERMAL,200
Baseline,NZT,w22,2026,HYDRO,5757
Baseline,NZT,w22,2026,NUCLEAR,0
Baseline,NZT,w22,2026,PV,1668
Baseline,NZT,w22,2026,WIND,455
Baseline,NZT,w22,2027,BIOENERGY,150
Baseline,NZT,w22,2027,DIESEL,850
Baseline,NZT,w22,2027,FUEL OIL,1420
Baseline,NZT,w22,2027,GAS,475.36
Baseline,NZT,w22,2027,GEOTHERMAL,200
Baseline,NZT,w22,2027,HYDRO,6157
Baseline,NZT,w22,2027,NUCLEAR,0
Baseline,NZT,w22,2027,PV,1918
Baseline,NZT,w22,2027,WIND,580
Baseline,NZT,w22,2028,BIOENERGY,150
Baseline,NZT,w22,2028,DIESEL,850
Baseline,NZT,w22,2028,FUEL OIL,1420
Baseline,NZT,w22,2028,GAS,475.36
Baseline,NZT,w22,2028,GEOTHERMAL,200
Baseline,NZT,w22,2028,HYDRO,6307
Baseline,NZT,w22,2028,NUCLEAR,0
Baseline,NZT,w22,2028,PV,2168
Baseline,NZT,w22,2028,WIND,705
Baseline,NZT,w22,2029,BIOENERGY,150
Baseline,NZT,w22,2029,DIESEL,850
Baseline,NZT,w22,2029,FUEL OIL,820
Baseline,NZT,w22,2029,GAS,475.36
Baseline,NZT,w22,2029,GEOTHERMAL,200
Baseline,NZT,w22,2029,HYDRO,6307
Baseline,NZT,w22,2029,NUCLEAR,0
Baseline,NZT,w22,2029,PV,2418
Baseline,NZT,w22,2029,WIND,830
Baseline,NZT,w22,2030,BIOENERGY,150
Baseline,NZT,w22,2030,DIESEL,850
Baseline,NZT,w22,2030,FUEL OIL,720
Baseline,NZT,w22,2030,GAS,475.36
Baseline,NZT,w22,2030,GEOTHERMAL,200
Baseline,NZT,w22,2030,HYDRO,8102
Baseline,NZT,w22,2030,NUCLEAR,0
Baseline,NZT,w22,2030,PV,2418
Baseline,NZT,w22,2030,WIND,955
Baseline,NZT,w22,2031,BIOENERGY,150
Baseline,NZT,w22,2031,DIESEL,850
Baseline,NZT,w22,2031,FUEL OIL,720
Baseline,NZT,w22,2031,GAS,475.36
Baseline,NZT,w22,2031,GEOTHERMAL,200
Baseline,NZT,w22,2031,HYDRO,8102
Baseline,NZT,w22,2031,NUCLEAR,0
Baseline,NZT,w22,2031,PV,2418
Baseline,NZT,w22,2031,WIND,1080
Baseline,NZT,w22,2032,BIOENERGY,150
Baseline,NZT,w22,2032,DIESEL,850
Baseline,NZT,w22,2032,FUEL OIL,720
Baseline,NZT,w22,2032,GAS,475.36
Baseline,NZT,w22,2032,GEOTHERMAL,200
Baseline,NZT,w22,2032,HYDRO,8102
Baseline,NZT,w22,2032,NUCLEAR,0
Baseline,NZT,w22,2032,PV,3168
Baseline,NZT,w22,2032,WIND,1205
Baseline,NZT,w22,2033,BIOENERGY,150
Baseline,NZT,w22,2033,DIESEL,850
Baseline,NZT,w22,2033,FUEL OIL,720
Baseline,NZT,w22,2033,GAS,475.36
Baseline,NZT,w22,2033,GEOTHERMAL,200
Baseline,NZT,w22,2033,HYDRO,8102
Baseline,NZT,w22,2033,NUCLEAR,0
Baseline,NZT,w22,2033,PV,4168
Baseline,NZT,w22,2033,WIND,1330
Baseline,NZT,w22,2034,BIOENERGY,150
Baseline,NZT,w22,2034,DIESEL,850
Baseline,NZT,w22,2034,FUEL OIL,720
Baseline,NZT,w22,2034,GAS,475.36
Baseline,NZT,w22,2034,GEOTHERMAL,200
Baseline,NZT,w22,2034,HYDRO,8102
Baseline,NZT,w22,2034,NUCLEAR,0
Baseline,NZT,w22,2034,PV,4918
Baseline,NZT,w22,2034,WIND,1455
Baseline,NZT,w22,2035,BIOENERGY,150
Baseline,NZT,w22,2035,DIESEL,550
Baseline,NZT,w22,2035,FUEL OIL,720
