Hydrology,Scenario,Representative_w,Year,Month,Tech,GWh,Date
Baseline,REF,w23,2027,11,HYDRO,2632.023413,2027-11-01
Baseline,REF,w23,2027,11,IMPORTS,0,2027-11-01
Baseline,REF,w23,2027,11,NUCLEAR,0,2027-11-01
Baseline,REF,w23,2027,11,PV,11.43024131,2027-11-01
Baseline,REF,w23,2027,11,WIND,93.02215358,2027-11-01
Baseline,REF,w23,2027,12,BIOENERGY,92.83627579,2027-12-01
Baseline,REF,w23,2027,12,DIESEL,39.58855018,2027-12-01
Baseline,REF,w23,2027,12,FUEL OIL,741.9573367,2027-12-01
Baseline,REF,w23,2027,12,GAS,62.58327502,2027-12-01
Baseline,REF,w23,2027,12,GEOTHERMAL,120.5471323,2027-12-01
Baseline,REF,w23,2027,12,HYDRO,2703.47674,2027-12-01
Baseline,REF,w23,2027,12,IMPORTS,0,2027-12-01
Baseline,REF,w23,2027,12,NUCLEAR,0,2027-12-01
Baseline,REF,w23,2027,12,PV,9.347134263,2027-12-01
Baseline,REF,w23,2027,12,WIND,82.76605032,2027-12-01
Baseline,REF,w23,2028,1,BIOENERGY,91.19147189,2028-01-01
Baseline,REF,w23,2028,1,DIESEL,0,2028-01-01
Baseline,REF,w23,2028,1,FUEL OIL,828.3084669,2028-01-01
Baseline,REF,w23,2028,1,GAS,67.24243628,2028-01-01
Baseline,REF,w23,2028,1,GEOTHERMAL,129.9584733,2028-01-01
Baseline,REF,w23,2028,1,HYDRO,2598.802019,2028-01-01
Baseline,REF,w23,2028,1,IMPORTS,0,2028-01-01
Baseline,REF,w23,2028,1,NUCLEAR,0,2028-01-01
Baseline,REF,w23,2028,1,PV,11.73259713,2028-01-01
Baseline,REF,w23,2028,1,WIND,96.1439384,2028-01-01
Baseline,REF,w23,2028,2,BIOENERGY,91.659599,2028-02-01
Baseline,REF,w23,2028,2,DIESEL,45.41927567,2028-02-01
Baseline,REF,w23,2028,2,FUEL OIL,610.8135709,2028-02-01
Baseline,REF,w23,2028,2,GAS,0,2028-02-01
Baseline,REF,w23,2028,2,GEOTHERMAL,125.984394,2028-02-01
Baseline,REF,w23,2028,2,HYDRO,2830.517404,2028-02-01
Baseline,REF,w23,2028,2,IMPORTS,0,2028-02-01
Baseline,REF,w23,2028,2,NUCLEAR,0,2028-02-01
Baseline,REF,w23,2028,2,PV,10.24869735,2028-02-01
Baseline,REF,w23,2028,2,WIND,89.62293865,2028-02-01
Baseline,REF,w23,2028,3,BIOENERGY,64.1455498,2028-03-01
Baseline,REF,w23,2028,3,DIESEL,0,2028-03-01
Baseline,REF,w23,2028,3,FUEL OIL,22.14958169,2028-03-01
Baseline,REF,w23,2028,3,GAS,0,2028-03-01
Baseline,REF,w23,2028,3,GEOTHERMAL,128.9201559,2028-03-01
Baseline,REF,w23,2028,3,HYDRO,3562.136769,2028-03-01
Baseline,REF,w23,2028,3,IMPORTS,0,2028-03-01
Baseline,REF,w23,2028,3,NUCLEAR,0,2028-03-01
Baseline,REF,w23,2028,3,PV,8.065638978,2028-03-01
Baseline,REF,w23,2028,3,WIND,85.15850155,2028-03-01
Baseline,REF,w23,2028,4,BIOENERGY,95.04753712,2028-04-01
Baseline,REF,w23,2028,4,DIESEL,0,2028-04-01
Baseline,REF,w23,2028,4,FUEL OIL,23.30090079,2028-04-01
Baseline,REF,w23,2028,4,GAS,0,2028-04-01
Baseline,REF,w23,2028,4,GEOTHERMAL,128.4914465,2028-04-01
Baseline,REF,w23,2028,4,HYDRO,3558.962479,2028-04-01
Baseline,REF,w23,2028,4,IMPORTS,0,2028-04-01
Baseline,REF,w23,2028,4,NUCLEAR,0,2028-04-01
Baseline,REF,w23,2028,4,PV,9.813471082,2028-04-01
Baseline,REF,w23,2028,4,WIND,74.63920446,2028-04-01
Baseline,REF,w23,2028,5,BIOENERGY,0,2028-05-01
Baseline,REF,w23,2028,5,DIESEL,0,2028-05-01
Baseline,REF,w23,2028,5,FUEL OIL,32.70134011,2028-05-01
Baseline,REF,w23,2028,5,GAS,0,2028-05-01
Baseline,REF,w23,2028,5,GEOTHERMAL,120.2990864,2028-05-01
