Hydrology,Scenario,Representative_w,Date,Year,Month,MW,ENS_GWh,CO2_kt
Baseline,BRIDGE,w17,2028-04-01,2028,4,405.2348999,0,0
Baseline,BRIDGE,w17,2028-05-01,2028,5,403.2291188,0,0
Baseline,BRIDGE,w17,2028-06-01,2028,6,394.3565146,0,0
Baseline,BRIDGE,w17,2028-07-01,2028,7,389.1284029,0,0
Baseline,BRIDGE,w17,2028-08-01,2028,8,388.063422,0,451.9375812
Baseline,BRIDGE,w17,2028-09-01,2028,9,397.1327807,0,397.094348
Baseline,BRIDGE,w17,2028-10-01,2028,10,398.434125,0,402.1629013
Baseline,BRIDGE,w17,2028-11-01,2028,11,406.4969051,0,599.4384563
Baseline,BRIDGE,w17,2028-12-01,2028,12,416.2153424,0,631.0536468
Baseline,BRIDGE,w17,2029-01-01,2029,1,414.9959727,0,594.0290756
Baseline,BRIDGE,w17,2029-02-01,2029,2,412.9213591,0,725.1900888
Baseline,BRIDGE,w17,2029-03-01,2029,3,420.1187913,0,0
Baseline,BRIDGE,w17,2029-04-01,2029,4,422.2547656,0,0
Baseline,BRIDGE,w17,2029-05-01,2029,5,420.1647418,0,0
Baseline,BRIDGE,w17,2029-06-01,2029,6,410.9194882,0,0
Baseline,BRIDGE,w17,2029-07-01,2029,7,405.4717958,0,0
Baseline,BRIDGE,w17,2029-08-01,2029,8,404.3620857,0,488.1032558
Baseline,BRIDGE,w17,2029-09-01,2029,9,413.8123574,0,513.7064562
Baseline,BRIDGE,w17,2029-10-01,2029,10,415.1683583,0,512.7932461
